gene,gene_name,TATA,class,tail-dependence,expression,Spt3,Spt7,Taf1,Taf13,Bdf1Bdf2,Esa1,Med1,Med5,Med10,Med14,Med15,TID,Mot1,Bur6,NCB2,Toa1,Ssl2
YLR009W,RLP24,TATA-less,TFIID,tail-independent,49.73255657,-0.7918221,-1.606437376,-2.219018636,-2.429084958,-1.773263981,-2.252608749,-0.452147796,-0.200047859,-1.749984305,-2.058597721,0.390452192,0.286192594,-1.487622594,-1.137152548,-0.94160491,-3.582848042,-4.743477181
YGR285C,ZUO1,TATA-less,TFIID,tail-independent,49.72920196,-1.40643628,-1.416022847,-1.740959596,-2.361145226,-1.555069577,-1.305448526,-0.377186318,-0.194530766,-1.877562951,-1.957160642,0.129528335,0.071524732,-1.168576602,-0.905573613,-0.871472393,-2.582191719,-3.463191755
YKL122C,SRP21,TATA-less,TFIID,tail-independent,49.71755955,-1.415350538,-0.960019435,-2.170681455,-2.688427706,-2.514233614,-2.683556234,-0.360813724,-0.080994433,-2.041978452,-2.603532845,0.199051917,0.300631769,-1.099999589,-0.929358998,-1.033491397,-3.919732472,-4.900157398
YOR341W,RPA190,TATA-less,TFIID,tail-independent,49.59073186,-1.015054576,-1.685026196,-1.94651383,-2.878023504,-1.237177957,-1.627869928,-0.208859152,-0.128600212,-0.943968744,-1.018211086,0.435995329,0.11171619,-0.993704498,-0.693984964,-0.528011794,-1.962500029,-3.302933295
YFR032C-A,RPL29,TATA-less,TFIID,tail-independent,49.51694255,-0.850249617,-1.173323912,-1.92840198,-2.626133497,-0.511852822,-0.941401931,-0.042986913,0.033597662,-3.069292247,-1.855734427,0.087705451,0.011764709,-1.004836142,-0.161056173,-0.316131283,-3.166084214,-3.599521391
YCR031C,RPS14A,TATA-containing,TFIID,tail-independent,49.39526211,-1.279920937,-1.512349345,-1.504445967,-2.335341984,-0.989932086,-1.186767936,-0.211273567,-0.022822247,-2.405749298,-1.781388318,0.17711058,-0.137599044,-0.57825901,-0.437414764,-0.495571325,-2.787701806,-3.566426002
YIL069C,RPS24B,TATA-less,TFIID,tail-independent,49.39061856,-1.125732709,-1.7522349,-2.067379642,-2.818916217,-1.007595794,-2.099991831,-0.173415072,-0.092136831,-2.062040875,-2.236919189,0.209218927,-0.080766186,-1.421841601,-0.887205408,-0.703259396,-4.029484438,-4.784352103
YNL016W,PUB1,,TFIID,tail-independent,49.34662431,-1.626368276,-1.520035987,-1.849540536,-2.58290342,-1.236775554,-1.172606097,-0.348242535,-0.082694742,-2.450213313,-2.478402947,-0.098950996,-0.031279796,-1.122347028,-0.950462821,-0.852531843,-3.297336107,-4.46081275
YDR172W,SUP35,TATA-less,TFIID,tail-independent,49.2531097,-1.352473616,-1.657671916,-1.854165807,-2.241388481,-2.32389498,-1.986317973,-0.309774571,-0.157224682,-1.825490855,-2.144032593,0.102872508,0.16500241,-0.943704839,-0.909132932,-0.877372613,-2.954875996,-4.100465924
YKL196C,YKT6,TATA-less,TFIID,tail-independent,48.96799259,-1.314483887,-1.05532904,-1.888137517,-2.402689787,-3.839882803,-3.401893347,-0.366112242,-0.155629233,-2.535293127,-2.805405597,0.047505734,0.168874568,-0.897145605,-0.551795665,-0.731592144,-4.430210226,-5.13448293
